file_key;clube;pais
"semcontrato_172";" Sem Contrato - 18";"172"
"semcontrato_cg";" Sem Contrato - 19";"CG"
"07vestur_ilh";"07 Vestur";"Ilhas Faroé"
"12Bingolspor_tur";"12 Bingolspor";"Turquia"
"12deoctubre_par";"12 de Octubre";"Paraguai"
"1461Trabzon_tur";"1461 Trabzon";"Turquia"
"munchen1860_ale";"1860 München";"Alemanha"
"Rosenheim_ale";"1860 Rosenheim";"Alemanha"
"1deagosto_ang";"1º de Agosto";"ANG"
"2demayo_par";"2 de Mayo";"Paraguai"
"24Erzincanspor_tur";"24 Erzincanspor";"Turquia"
"25april_crn";"25 Abril";"CRN"
"3defebrero_par";"3 de Febrero";"Paraguai"
"9DeJulioDeRafaela_arg";"9 de Julio";"Argentina"
"aalborg_din";"Aalborg BK";"Dinamarca"
"Aalen_ale";"Aalen";"Alemanha"
"aarhus_den";"Aarhus GF";"DEN"
"abcrn_bra";"ABC";"Brasil"
"abecat";"ABECAT";"Brasil"
"aberdeen_esc";"Aberdeen";"Escócia"
"abha_ara";"Abha Club";"ARA"
"abs_nga";"ABS FC";"NGA"
"belinzona_sui";"AC Bellinzona";"Suíça"
"connecticut_eua";"AC Connecticut";"EUA"
"horsens_din";"AC Horsens";"Dinamarca"
"port_trt";"AC Port of Spain";"TRT"
"cantolao_per";"Academia Cantolao";"Peru"
"academicacoimbra_por";"Académica Coimbra";"Portugal"
"academicasf_por";"Académica II";"Portugal"
"academicoviseu_por";"Académico Viseu";"Portugal"
"Acassuso_arg";"Acassuso";"Argentina"
"accrington_ing";"Accrington Stanley";"Inglaterra"
"achilles29_hol";"Achilles";"Holanda"
"ACV_hol";"ACV Assen";"Holanda"
"adoliveirense_por";"AD Oliveirense";"Portugal"
"AdanaDemirspor_tur";"Adana Demirspor";"Turquia"
"adanaspor_tur";"Adanaspor";"Turquia"
"adesgac_bra";"ADESG";"Brasil"
"Adiyaman1954_tur";"Adıyaman 1954";"Turquia"
"admirawacker_aut";"Admira Wacker";"Áustria"
"admiraii_aut";"Admira Wacker II";"Áustria"
"adodenhaag_hol";"ADO Den Haag";"Holanda"
"aek_gre";"AEK Atenas";"Grécia"
"aeklarnaca_chi";"AEK Larnaca";"Chile"
"larissa_gre";"AEL FC";"Grécia"
"aelkalloni_gre";"AEL Kalloni";"Grécia"
"aellimassol_cyp";"AEL Limassol ";"CYP"
"amsterdam_hol";"AFC Amsterdam";"Holanda"
"afips_rus";"Afips";"Rússia"
"AfjetAfyonspor_tur";"Afjet Afyonspor";"Turquia"
"afogadospe_bra";"Afogados";"Brasil"
"Agrispor_tur";"Agrıspor";"Turquia"
"ahrobiznes_ucr";"Agrobiznes";"Ucrânia"
"agropecuario_arg";"Agropecuario";"Argentina"
"aguasantasp_bra";"Água Santa";"Brasil"
"rdagueda_por";"Águeda";"Portugal"
"aguiapa_bra";"Águia de Marabá";"Brasil"
"aguianegra_bra";"Águia Negra";"Brasil"
"AhZapla_arg";"AH Zapla";"Argentina"
"ahfc_eua";"AHFC Royals";"EUA"
"aik_sue";"AIK";"Suécia"
"aimorers_bra";"Aimoré";"Brasil"
"airdrieonians_esc";"Airdrieonians";"Escócia"
"ajaccio_fr";"Ajaccio";"FR"
"ajax_hol";"Ajax";"Holanda"
"ajaxb_hol";"Ajax II";"Holanda"
"wahda_uae";"Ajman";"UAE"
"akademiyafutbola_rus";"Akademiya Futbola";"Rússia"
"akishar_tur";"Akhisarspor";"Turquia"
"terekgroznyi_rus";"Akhmat Grozny";"Rússia"
"akragas_ita";"Akragas";"Itália"
"akron_rus";"Akron";"Rússia"
"akropolis_sue";"Akropolis IF";"Suécia"
"alahli_cat";"Al Ahli Doha";"Catar"
"alahly_egi";"Al Ahly";"Egito"
"al_ain_emi";"Al Ain";"Emirados"
"bidda_cat";"Al Bidda";"Catar"
"faisaly_jor";"Al Faisaly de Amã";"JOR"
"al_fateh_ara";"Al Fateh";"ARA"
"al-ittihad_iem";"Al Ittihad Ibb SCC";"IEM"
"ittihad_uae";"Al Ittihad Kalba";"UAE"
"aljazira_emi";"Al Jazira";"Emirados"
"almokawloon_egi";"Al Mokawloon";"Egito"
"alnassr_ara";"Al Nassr";"ARA"
"sharjah_uae";"Al Sharjah";"UAE"
"alshorta_ira";"Al Shorta";"IRA"
"alwahda_emi";"Al Wahda Abu Dhabi";"Emirados"
"wasl_uae";"Al Wasl";"UAE"
"al_ahli_ara";"Al-Ahli";"ARA"
"alahlytripoli_lib";"Al-Ahly Tripoli";"LIB"
"akhdoud_sau";"Al-Akhdoud";"SAU"
"alansar_leb";"Al-Ansar";"LEB"
"al_batin_ara";"Al-Batin";"ARA"
"Al-DhafraFC";"Al-Dhafra FC";"AL-DHAFRAFC"
"alduhail_cat";"Al-Duhail";"Catar"
"ettifaq_ara";"Al-Ettifaq";"ARA"
"alfaisaly_ara";"Al-Faisaly";"ARA"
"al_fayha_ara";"Al-Fayha";"ARA"
"Al-Shamal";"Al-Gharafa";"AL-SHAMAL"
"al_hazem_ara";"Al-Hazem";"ARA"
"omdurman_sud";"Al-Hilal";"SUD"
"al_hilal";"Al-Hilal ";"HILAL"
"alittihad_ara";"Al-Ittihad";"ARA"
"alexandria_egi";"Al-Ittihad Alexandria";"Egito"
"aljabalain_ara";"Al-Jabalain";"ARA"
"al_kawkab_ara";"Al-Kawkab";"ARA"
"al_khaleej_ara";"Al-Khaleej";"ARA"
"alkholood_ara";"Al-Kholood";"ARA"
"alkhor_cat";"Al-Khor";"Catar"
"almerrikh_sud";"Al-Merrikh";"SUD"
"mojzel_sau";"Al-Mujazzal";"SAU"
"al_nahda_ara";"Al-Nahda";"ARA"
"alnajma";"Al-Najma";"ALNAJMA"
"al_najoom_ara";"Al-Najoom";"ARA"
"alnasr_lib";"Al-Nasr";"LIB"
"al_nasr";"Al-Nasr";"NASR"
"alokhdood_ara";"Al-Okhdood Club";"ARA"
"alorobah_ara";"Al-Orobah";"ARA"
"al_qadisiya_ara";"Al-Qadsiah";"ARA"
"al_qaisoma_ara";"Al-Qaisoma";"ARA"
"al_raed_ara";"Al-Raed";"ARA"
"alrayyan_cat";"Al-Rayyan";"Catar"
"alriyadh_ara";"Al-Riyadh";"ARA"
"alsad_cat";"Al-Sadd";"Catar"
"alsailiya_cat";"Al-Sailiya";"Catar"
"al_shabab_ara";"Al-Shabab";"ARA"
"Al-Shahaniya";"Al-Shahaniya Stadium";"AL-SHAHANIYA"
"al_shoalah_ara";"Al-Shoalah";"ARA"
"al_taee_ara";"Al-Ta'i";"ARA"
"al_taawon_ara";"Al-Taawoun";"ARA"
"alwahda_sir";"Al-Wahda Damasco";"SIR"
"alwahdatripoli_lib";"Al-Wahda Tripoli";"LIB"
"al_wehda_ara";"Al-Wehda";"ARA"
"alwehdat_jor";"Al-Wehdat";"JOR"
"alajuelense_crc";"Alajuelense";"CRC"
"alania_rus";"Alania";"Rússia"
"alanyaspor_tur";"Alanyaspor";"Turquia"
"alashkertyerevan_arm";"Alashkert Yerevan";"ARM"
"alaves_esp";"Alavés";"Espanha"
"albacete_esp";"Albacete";"Espanha"
"linares_esp";"Alberto González";"Espanha"
"AlbinoLeffe_it";"AlbinoLeffe";"IT"
"albion_uru";"Albion";"Uruguai"
"albionrovers_esc";"Albion Rovers";"Escócia"
"albissola_it";"Albissola";"IT"
"alcanenense_por";"Alcanenense";"Portugal"
"alcorcon_esp";"Alcorcón";"Espanha"
"alcoyano_esp";"Alcoyano";"Espanha"
"aldershot_ing";"Aldershot Town";"Inglaterra"
"aldosivi_arg";"Aldosivi";"Argentina"
"lokoplovdiv_bul";"Aleksandar Tunchev";"BUL"
"AlemanniaAachen_ale";"Alemannia Aachen";"Alemanha"
"alessandria_ita";"Alessandria";"Itália"
"alfonsougarte_per";"Alfonso Ugarte";"Peru"
"alfredo_per";"Alfredo Salinas";"Peru"
"gandra_por";"Aliança Gandra";"Portugal"
"alianza_els";"Alianza";"ELS"
"alianzaatletico_per";"Alianza Atlético";"Peru"
"AlianzaCutral_arg";"Alianza Cutral Có";"Argentina"
"alianza_per";"Alianza Huánuco";"Peru"
"alianzalima_per";"Alianza Lima";"Peru"
"alianza_col";"Alianza Petrolera";"Colômbia"
"aljustrelense_por";"Aljustrelense";"Portugal"
"allboys_arg";"All Boys";"Argentina"
"allerheiligen_aut";"Allerheiligen";"Áustria"
"almagro_arg";"Almagro";"Argentina"
"almancilense_por";"Almancilense";"Portugal"
"LokomotiveLeipzig_ale";"Almedin Civa";"Alemanha"
"almerecity_hol";"Almere City";"Holanda"
"AlmereCityII_hol";"Almere City II";"Holanda"
"almeria_esp";"Almería";"Espanha"
"AlmiranteBrown_arg";"Almirante Brown";"Argentina"
"AltayIzmir_tur";"Altay SK";"Turquia"
"altos_pi";"Altos";"Brasil"
"aluminiumarak_iri";"Aluminium Arak";"IRI"
"alvorado_arg";"Alvarado";"Argentina"
"lautaro_chi";"Alvaro Muñoz";"Chile"
"fcalverca_por";"Alverca";"Portugal"
"alwaysready_bol";"Always Ready";"Bolívia"
"alyans_ucr";"Alyans";"Ucrânia"
"amapa_bra";"Amapá";"Brasil"
"amarante_por";"Amarante";"Portugal"
"amazonas_am";"Amazonas FC";"Brasil"
"amazoniaindependente_br";"Amazônia Independente";"Brasil"
"amed_tur";"Amed SK ";"Turquia"
"americacali_col";"América de Cali";"Colômbia"
"america_mex";"América do México";"México"
"americarj_bra";"América RJ";"Brasil"
"americamg_bra";"América-MG";"Brasil"
"americarn";"América-RN";"Brasil"
"americase_bra";"América-SE";"Brasil"
"americanorj_bra";"Americano";"Brasil"
"amiens_fra";"Amiens";"França"
"amkar_rus";"Amkar";"Rússia"
"amorebieta_esp";"Amorebieta";"Espanha"
"AFC_hol";"Amsterdamsche";"Holanda"
"skuamstetten_aut";"Amstetten";"Áustria"
"anadiafc_por";"Anadia";"Portugal"
"AnadoluBagcilar_tur";"Anadolu Bagcılar";"Turquia"
"AnadoluSelcukspor_tur";"Anadolu Selcukspor";"Turquia"
"ananindeua_bra";"Ananindeua";"Brasil"
"anapolina_go";"Anapolina";"Brasil"
"anapolisgo_bra";"Anápolis";"Brasil"
"ancona_ita";"Ancona";"Itália"
"anderlecht_bel";"Anderlecht";"Bélgica"
"Andino_arg";"Andino";"Argentina"
"andraus_bra";"Andraus";"Brasil"
"qingdao_chn";"Andrés Iniesta";"CHN"
"lokomotiv_uzb";"Andrey Fedorov";"UZB"
"Andrezieux_fra";"Andrezieux";"França"
"angers_fr";"Angers";"FR"
"AngersSCOII_fra";"Angers II";"França"
"scangrense_por";"Angrense";"Portugal"
"angusht_rus";"Angusht Nazran";"Rússia"
"AnkaraAdliyespor_tur";"Ankara Adliyespor";"Turquia"
"AnkaraDemirspor_tur";"Ankara Demirspor";"Turquia"
"osmanlispor_tur";"Ankaraspor";"Turquia"
"annanathletic_esc";"Annan Athletic";"Escócia"
"Annecy_fra";"Annecy";"França"
"antalyspor_tur";"Antalyaspor Kulübü";"Turquia"
"antigua_gua";"Antigua GFC";"GUA"
"antofagasta_chi";"Antofagasta";"Chile"
"lugo_esp";"Anxo Carro";"Espanha"
"anzhi_rus";"Anzhi Makhachkala";"Rússia"
"anzhi2_rus";"Anzhi Makhachkala II";"Rússia"
"anzhiyunior_rus";"Anzhi-Yunior";"Rússia"
"platania_gre";"AO Platanias";"Grécia"
"kerkyra_gre";"AOK Kerkyra";"Grécia"
"aparecidense_go";"Aparecidense";"Brasil"
"apoel_chp";"APOEL";"CHP"
"apollonlarissa_gre";"Apollon Larisas";"Grécia"
"apollonlemesos_chp";"Apollon Limassol";"CHP"
"apollonpontou_gre";"Apollon Pontou";"Grécia"
"apollonsmyrnis_gre";"Apollon Smyrnis";"Grécia"
"arabcontractors_egi";"Arab Contractors SC";"Egito"
"arabeunido_pan";"Árabe Unido";"PAN"
"araguaina_to";"Araguaína";"Brasil"
"aragvidusheti_ge";"Aragvi Dusheti";"Geórgia"
"araratmoscou_ba_rus";"Ararat Moscou";"Rússia"
"araraterewan_arm";"Ararat-Armenia";"ARM"
"araruamarj_bra";"Araruama";"Brasil"
"arbroath_esc";"Arbroath";"Escócia"
"arcahaie_hai";"Arcahaie";"HAI"
"arezzo_it";"Arezzo";"IT"
"ArgentinoDeMerlo_arg";"Argentino Merlo";"Argentina"
"ArgentinoDeQuilmes_arg";"Argentino Quilmes";"Argentina"
"ArgentinoDeRosario_arg";"Argentino Rosario";"Argentina"
"argentinojnrs_arg";"Argentinos Juniors";"Argentina"
"arislimassol_chp";"Aris Limassol";"CHP"
"aris_gre";"Aris Thessaloniki";"Grécia"
"armavir_rus";"Armavir";"Rússia"
"arminia_ale";"Arminia Bielefeld";"Alemanha"
"arouca_por";"Arouca";"Portugal"
"Arras_fra";"Arras";"França"
"arsenal";"Arsenal";"ARSENAL"
"arsenalsarandi_arg";"Arsenal de Sarandí";"Argentina"
"arsenal_ucr";"Arsenal Kiev";"Ucrânia"
"arsenaltula_rus";"Arsenal Tula";"Rússia"
"Arsinspor_tur";"Arsinspor";"Turquia"
"aruc";"ARUC";"Brasil"
"asotoho_con";"As Otohô";"CON"
"venus_tai";"AS Vénus";"TAI"
"asaarapiracaal_bra";"ASA";"Brasil"
"asantekotoko_nig";"Asante Kotoko";"NIG"
"diaraf_sen";"ASC Diaraf";"SEN"
"asc-societe-nationale_mtn";"ASC Société et Minière";"MTN"
"ascoli_ita";"Ascoli";"Itália"
"asecmimosas_cma";"ASEC Mimosas";"CMA"
"astana_caz";"Astana";"CAZ"
"asteras_gre";"Asteras Tripolis";"Grécia"
"astonvilla_ing";"Aston Villa";"Inglaterra"
"AstoriaWalldorf_ale";"Astoria Walldorf";"Alemanha"
"ASWH_hol";"ASWH";"Holanda"
"atalanta_it";"Atalanta";"IT"
"atenas_uru";"Atenas";"Uruguai"
"Atenas_arg";"Atenas Rio Cuarto";"Argentina"
"AmiensAC_fra";"Athletic Amiens";"França"
"atleticobilbao_esp";"Athletic Bilbao";"Espanha"
"athleticclub_mg";"Athletic Club";"Brasil"
"afcunited_sue";"Athletic Eskilstuna";"Suécia"
"atleticopr_bra";"Athletico-PR";"Brasil"
"atlanta_arg";"Atlanta";"Argentina"
